song,artist,chords,date added,genre,lyrics,notes,times requested
Cold Brains,Beck,not ready,,indie rock,"Cold brains,
Unmoved,
Untouched,
Unglued
Alone at last
No thoughts,
No mind
To rot
Behind
A trail of disasters
A final curse
Abandoned hearse
We ride disowned
Corroded to the bone
The fields of green
Are bent, obscene
I lay upon the gravel
A worm of hope
A hangman's rope
Pulls me one way or the other
A final curse
Abandoned hearse
We write this song
Corroded to the bone
A bird of song
Is heard no longer
In the evacuated heavens
The drain is drawn
And drained and gone
And on and on, it doesn't matter
A final curse
Abandoned hearse
We ride this old
Corroded to the bone",,
Tropicalia,Beck,"     study these chords: 
B7#9 G7  A#7  A7  
-----------------------------------
--3--- ----    --       ----
--2--  4---   7---   6---
-----   3---   6---   5---------------------
--2--------------     ---     
-----   3---   6--   -5---------------------
           B7#9       G7
when they beat on a broken guitar
           B7#9                  G7  
and on the streets they reek of tropical charms
          B7#9        G7
the embassies lie in hideous shards
       A#7               A7       
where tourists snore and decay 
when they dance in a reptile blaze 
you wear a mask an equatorial haze
into the past a colonial maze
where there's no more confetti to throw 
G#m7               C#7    
you wouldn’t know what to say to yourself
G#m7               C#7    
love is a poverty you couldn't sell
F#m7                 B7
misery waiting in vague hotels
07677     G7       F#m7
           to be evicted 
VERSE
CHORUS
VERSE CHORDS
now you've had your fun under an air-conditioned sun
it's burned into your eyes leaves you plain and left behind
I see them eyes and 
A#7                 A7
fall into the jaws of a pestilent love 
CHORUS",,indie rock,"Oh when they beat Upon a broken guitar
And on the streets They reek of tropical charms
The embassies lie in hideous shards
Where tourists snore and decay
When they dance in a reptile blaze
You wear a mask An equatorial haze
Into the past A colonial maze
Where there's no more confetti to throw
You wouldn't know what to say to yourself
Love is a poverty you couldn't sell
Misery waits in vague hotels
To be evicted
You're out of luck You're singing funeral songs
To the studs They're anabolic and bronze
They seem to strut In their millennial fogs
'til they fall down and deflate
You wouldn't know what to say to yourself
Love is a poverty you couldn't sell
Misery waits in vague hotels
To be evicted
Oh and now you've had your fun
Under an air-conditioned sun
It's burned into your eyes
Leaves you plain and left behind
I see them eyes and fall
Into the jaws of a pestilent love
You wouldn't know what to say to yourself
Love is a poverty you couldn't sell
Misery waits in vague hotels
To be a victim",,
New Pollution,Beck,not ready,,indie rock,"She's got cigarette army charm
She's got the lily-white cavity crazes
She's got a carburetor tied to the moon
Pink eyes looking to the fruit of the ages
She's alone in the new pollution
She's alone in the new pollution
She's got a hand on a wheel of pain
She can talk to the mangling strangers
She can sleep in a fiery ball
Throwing truffles to the dying embers
She's alone in the new pollution
She's alone in the new pollution
She's alone in the new pollution
She's alone in the new pollution
She's got a paradise camouflage
Like a whip-crack sending me shivers
She's the boat in a strip mine ocean
Riding low on the drunken rivers
She's alone in the new pollution
",,
Think I’m in Love,Beck,not ready,,,"I really think I better get a hold of myself
Don't wanna let the night get ahead of myself
Whisperin' her love through a smoke ring smile
She doesn't know what happens when she's around
I think I'm in love
But it makes me kinda nervous to say so
I think I'm in love
But it makes me kinda nervous to say so
Doodododododooodoo
Probably lay my head on a wooden floor
Tell her I was tired from working the store
Counting all the cash from an old shoebox
Saving up to buy her something she wants
I think I'm in love
But it makes me kinda nervous to say so
I think I'm in love
But it makes me kinda nervous to say so
What if it's wrong?
What if it's wrong
To pray in vain?
What does it mean
To fake your death?
To wake up tainted?
Take a little picture in a photobooth
Keep it in a locket and I think of you
Both of our pictures, face to face
Take off your necklace and throw it away
I think I'm in love
But it makes me kinda nervous to say so
I think I'm in love
But it makes me kinda nervous to say so
Really think I better get a hold of myself
Don't wanna let the night get ahead of myself
Whisperin' her love through a smoke ring smile
She doesn't know what happens when she's around
I think I'm in love
Think I'm in love
Think I'm in love
Think I'm in love
Think I'm in love
Think I'm in love
Think I'm in love
Think I'm in love",,
Nausea,Beck,not ready,,indie rock,"Now I'm a seasick sailor
On a ship of noise
I got my maps all backwards
And my instincts poisoned
In a truth blown gutter
Full of wasted years
Like blown-out speakers
Ringin' in my ears
Oh it's nausea, oh nausea
And we're gone
It's nausea, oh nausea
And we're gone
Now I'm a straight-line walker
In a black-out room
I push a shopping cart over
In an Aztec ruin
With my minion fingers
Working for some God
Who could see his own reflection
In a parking lot
Oh it's nausea, oh nausea
And we're gone
No it's nausea, oh nausea
And we're gone
Now I'm a priest teenager
On a tower of dust
I'm a dead generator
In a cloud of exhaust
I eat alone in the desert
With skulls for my pets
I rate the days, one to ten
With lead cigarettes
It's nausea, oh nausea
And we're gone
It's nausea, oh nausea
And we're gone",,
Nicotine and Gravy,Beck,not ready,,indie rock,"I'll be your chauffeur on a midnight drive
It takes a miracle just to survive
Buried animals call your name
You keep on sleeping
Through the poignant rain
I think we're going crazy
Her left eye is lazy
She looks so Israeli
Nicotine and gravy
I'll feed you fruit that don't exist
I'll leave graffiti
Where you've never been kissed
I'll do your laundry
Massage your soul
I'll turn you over
To the highway patrol
I think we're going crazy
Her left eye is lazy
She looks so Israeli
Nicotine and gravy
I think we're going crazy
Things don't even faze me
Her left eye is lazy
Nicotine and gravy
Miracles amaze me
She looks so Israeli
Love the way she plays me
I think I'm going crazy
I don't want to die tonight",,
Man Who Sold the World,David Bowie  (Nirvana),"not ready
INTRO RIFF
    A                              Dm                           F                                Dm
E|----------------------------------------------------------------
B|----------------------------------------------------------------
G|--2-2-2-0-2-3-2-0-----2-2-2-0-2-3-2-0-----2-2-2-0-2-3-2-0-------
D|-----------------------------------------------------3-3-3-3-3-3-3-3---
 Dm                                        A7                                         Dm
          We passed upon the stairs, We spoke of was and when
                                            A7                                          F
           Although I wasn't there, he said i was his friend
                                                C                  Gm             A
           Which came as some surprise, I spoke into his eyes
                                              Dm                                  C (riff)
             I thought you died alone, a long long time ago
    C(riff)                            F(riff)                               Bbm             F(riff)
E|--------------------------|-----------------------                                    -------------------------
B|--------------------------|--------------------3-5-6----                          ---------------3-5-6----
G|------------2-4-5-------|------------2-3-5------------                          ------2-3-5------------
D|------2-3-5-------------|------3-5--------------------                           3-5--------------------
A|--3-5--------------------|-------------------------                                 ---------------------
E|--------------------------|-----------------------                                    --------------------                                          
             Oh no,             not me                                  I never lost control
                                                                                    Bbm                        (Intro RIFF)
             You're face      to face                     with the man who sold the world
 
verse: | A7 |  Dm  |  A7 |  F |  C  Gm | A  |
                    
                                                 Dm                                        C(riff)
             We must have died alone' a long long time ago
                           Who knows? not me
                         We never lost control
                          Your'e face to face
                    with the man who sold the world
Riffs:
======
r1 is:
r2 is: (simply play C Major scale)
r3: (F Major scale)
    F
",,,"We passed upon the stairs,
We spoke of was and when
Although I wasnt there
He said I was his friend
Which came as a surprise
I spoke into his eyes -- I thought you died alone
A long long time ago
Oh no, not me,
We never lost control,
Youre face to face,
With the man who sold the world
I laughed and shook his hand,
I made my way back home,
I searched for form and land,
Years and years I roamed,
I gazed a gazely stare,
We walked a million hills -- I must have died alone,
A long long time ago.
Who knows, not me,
I never lost control,
Youre face, to face,
With the man who sold the world.",,2
Wasted and Ready,"Kweller, Ben","(practice solo)
7-7-7-7-6-6-6-6-6-6-6-6-7-7-7-7-
0-0-0-0-0-0-0-0-5-5-5-5-5-5-5-5-
Force field super shield AA. Junior high love affair is OK. Jump on the big wagon cause I'm so Cal. 
F#m           A       B            A                                            A  A   B
I'm big in every way. I'm running as fast as I can.
E B A B
She goes above and beyond her call of duty.
She is a slut but X thinks it's sexy.
Sex reminds her of eating spaghetti.
I am wasted but I'm ready.
If you wanna move it so, why don't you make it go. Prove to everybody who doesn't understand. All the nights, all the fights. You are out of sight.
F#m           A       B            A                                            A  A   B
Some say more with their hand. I'm running as fast as I can.
E B A B
She goes above and beyond her call of duty. She is a slut but X thinks it's sexy.
Sex reminds her of eating spaghetti.
I am wasted but I'm ready. x3
G                 A        E       B   C               D        
Running as fast as I can.     Running as fast as I RUN!.
solo:                                                                                                 11-12
                                                                      -8-9 -                          11-12
------  AGAGA#A#AG  6-7-- AGAGA#A#AG -8-9-  AGAGA#A#AG          (same)
8-9--                            8-9-
-------                           -------
0-0--                            0-0---                          0-0-                           
verse (2 for nothing):
Why am I dealing with this feeling? I'm maxed out like a credit card.
I'll continue to be my worst enemy.
F#m               A                  B              A                                            A  A   B
It's easy but it seems so hard.You're near but you seem so far.
CHORUS X2
I am wasted but I'm ready. I am wasted but I'm ready. I.... yeah yeah, yeah!
G                 A            E       B   
Running as fast as I can.   x3
C                D            D E E
running as fast... as I can",,indie rock,"Force field super shield AA. Junior high love affair is OK.
Jump on the big wagon cause I'm so Cal.
I'm big in every way. I'm running as fast as I can.
She goes above and beyond her call of duty.
She is a slut but her ex thinks it's sexy.
Sex reminds her of eating spaghetti.
I am wasted but I'm ready.
If you wanna move it so, why don't you make it go.
Prove to everybody who doesn't understand.
All the nights, all the fights. You are out of sight.
Some say more with their hands. 
I'm running as fast as I can.
She goes above and beyond her call of duty.
She is a slut but her ex thinks it's sexy.
Sex reminds her of eating spaghetti.
I am wasted but I'm ready. 
I am wasted but I'm ready. 
I am wasted but I'm ready.
Running as fast as I can. Running as fast as I RUN!
(gtr solo) ...    return to verse riff (2 for nothing)
Why am I dealing with this feeling? I'm maxed out like a credit card.
I'll continue to be my worst enemy. 
It's easy but it seems so hard. You're near but you seem so FAR!!!
She goes above and beyond her call of duty.
She is a slut but ex thinks it's sexy.
Sex reminds her of eating spaghetti.
I am wasted but I'm ready.                          (repeat)
I am wasted but I'm ready. 
I am wasted but I'm ready. 
I am wasted but I'm ready.
I....... yeah yeah... yeah!
Running as fast as I can. 
Running as fast as I can. 
Running as fast as I can.
running as fast........ as I... CAN.",,
Walk On Me,"Kweller, Ben",not ready,,indie rock,"sometimes i wonder if you're still here look in' out for anything that could fall and hit your head
fluorescent lights burn out in time dear we see world in a different light did you give up?
love ain't supposed to be this bad, make you cry mega ultra sad. if i told you you're all i ever had would you walk on me? i wouldn't walk on you
if i was in your shoes i wouldn't walk all over you so please don't walk all over me if i was in your shoes i wouldn't walk all over you so please don't walk all over me
right now i feel like its all ending spit me out sell me cheap you'll never ever ever ever ever teach me to fly
in the sky its early and still mornin' all those smiles you made wanted to cry cause you gave up
love ain't supposed to be this bad, make you cry stupid shady sad. if i told you you're all i ever had would you walk on me? i wouldn't walk on you
if i was in your shoes i wouldn't walk all over you so please don't walk all over me. if i was in your shoes i wouldn't walk all over you so please don't walk all over me",,
Thirteen,Big Star,"capo up 3 or 4 frets
----------------------------
----------------------------
--0---0---0--------------
----0--------0-2-0-------
---------3-----------------
3--------------------------
G                                  G           C        B            Em         C    B   Am (sus)
Won't you let me...      Wont u let me  meet u at the        pool
Em (02203x)       Am7
Maybe Friday      I can
get tickets for the dance....                                 and I'll
D     C      B       Am7 (sus)
 take                  you                                ooh
Won't you tell your dad, ""Get off my back""
Tell him what we said 'bout 'Paint It    Black
Rock 'n Roll is here to stay
Come inside where it's okay
And I'll shake                      you.
solo:                (Am)               Em7                                      AMaj
5--3------5--3--------------------------5--2-----5--2-----3---2----
3--3------2--2--------------------------2--3-----2--3-----3---3---
---------------------0-2-4-2-0-----------------------------------------
-----------------24-------------2--------------------------------------
--------------------------------------------------------------
0-----------------------------------------0-------------------
D9(xx0230) - D - Dsus - D 
Won't you tell me what you're thinking of
Would you be an outlaw for my love
If it's so, well, let me know
If it's ""no"", well, I can go
I won't make you    ooh",,indie rock,"Won't you let me walk you home from school
Won't you let me meet you at the pool
Maybe Friday I can
get tickets for the dance
and I'll take you   ooh
Won't you tell your dad, ""Get off my back""
Tell him what we said 'bout 'Paint It Black'
Rock 'n Roll is here to stay
Come inside where it's okay
And I'll shake you.  ooh 
long gtr solo
Won't you tell me what you're thinking of
Would you be an outlaw for my love
If it's so, well, let me know
If it's ""no"", well, I can go
I won't make you  ooh  ",,
The Ballad of El Goodo,Big Star,not ready,,indie rock,"Years ago, my heart was set to live, oh
But i've been trying hard against unbelievable odds
It gets so hard at times like now to hold on
My guns they're waiting to be stuck by
At my side is god
And there ain't no one gonna turn me 'round
Ain't no one gonna turn me 'round
There's people around who tell you that they know
The places where they send you, and it's easy to go
They'll zip you up and dress you down
Stand you in a row
But you know you don't have to
You can just say no
And there ain't no one gonna turn me 'round
Ain't no one gonna turn me 'round
Ain't no one gonna turn me 'round
Ain't no one gonna turn me 'round
I've been built up and trusted
Broke down and busted
But they'll get theirs and we'll get ours
Just if we can
Just, ah, hold on
Hold on
Hold on
Hold on
Years ago my heart was set to live, oh
But i've been trying hard against strong odds
It gets so hard at times like now to hold on
Well, i'll fall if i don't fight
And at my side is god
Ain't no one gonna turn me 'round
Ain't no one gonna turn me 'round
Ain't no one gonna turn me 'round
Ain't no one gonna turn me 'round
Hold on
Hold on
Hold on
Hold on
[alternate lines of last verse:]
Years ago i was all set to go
And i've been trying hard against long odds
It gets so hard at times like this to even hang around
I can either stand or fall
And i believe i'm gonna stand tall",,
Steady as She Goes,"Raconteurs, The",not ready,,indie rock,"Find yourself a girl, and settle down
Live a simple life in a quiet town
Steady as she goes (steady as she goes)
Steady as she goes (steady as she goes)
So steady as she goes
Your friends have shown a kink in the single life
You've had too much to think, now you need a wife
Steady as she goes (steady as she goes)
So steady as she goes (steady as she goes)
Well here we go again, you've found yourself a friend, that knows you well
But no matter what you do, you'll always feel as though you tripped and fell
So steady as she goes
When you have completed what you thought you had to do
And your blood's depleted to the point of stable glue
Then you'll get along
Then you'll get along
Steady as she goes (steady as she goes)
So steady as she goes (steady as she goes)
Well here we go again, you've found yourself a friend that knows you well
But no matter what you do, it always feels as though you tripped and fell
So steady as she goes
Steady as she goes
Settle for a girl and buckle down
Send it to the crowd that's gathered round
Settle for a girl and buckle down
Send it to the crowd that's gathered round
So steady as she goes (steady as she goes)
Steady as she goes (steady as she goes)
Steady as she goes (steady as she goes)
Steady as she goes (steady as she goes)
So steady as she goes (steady as she goes)
Steady as she goes
Are you steady now?
Steady as she goes
Are you steady now?
Steady as she goes
Are you steady now?
Steady as she goes
Are you steady now?
Steady as she goes",,
Running to Stand Still,U2,D,,,"And so she woke up
Woke up from where she was lying still
Said I gotta do something about where we're going
Step on a steam train
Step out of the driving rain
Maybe run from the darkness in the night
Singing ha, ah la la la de day
Ah la la la de day
Ah la la de day
Sweet the sin
Bitter, the taste in my mouth
I see seven towers
But I only see one way out
You got to cry without weeping
Talk without speaking
Scream without raising your voice
You know I took the poison from the poison stream
Then I floated out of here
Singing ha la la la de day
Ha la la la de day
Ha la la de day
Oooooh...
She runs through the streets with her eyes painted red
Under a black belly of cloud in the rain
In through a doorway
She brings me white gold and pearls
Stolen from the sea she is raging, she is raging
And the storm blows up in her eyes
She will suffer the needle chill
She's running to stand still ",,6
"John Wayne Gacy, Jr.",Sufjan Stevens,"Capo 3rd fret
Chords:
Dm
C9
Am
F(1xx21x)
(un capo-ed version of chords:)
Fm xx3564
D#  x65363  (C shape)
Cm x35543
G#  4xx54x
",,indie rock,"His father was a drinker
And his mother cried in bed
Folding John Wayne's T-shirts
When the swingset hit his head
The neighbors they adored him
For his humor and his conversation
Look underneath the house there
Find the few living things
Rotting fast in their sleep of the dead
Twenty-seven people, even more
They were boys with their cars, summer jobs
Oh my God
Are you one of them?
He dressed up like a clown for them
With his face paint white and red
And on his best behavior
In a dark room on the bed he kissed them all
He'd kill ten thousand people
With a sleight of his hand
Running far, running fast to the dead
He took of all their clothes for them
He put a cloth on their lips
Quiet hands, quiet kiss
On the mouth
And in my best behavior
I am really just like him
Look beneath the floorboards
For the secrets I have hid ",print out again - got lost,3
Decatur,Sufjan Stevens,not ready,,indie rock,"Our step mom we did everything to hate her
She took us down to the edge of Decatur
We saw the lion and the kangeroo take her
Down to the river where they caught a wild alligator
Sangamon River it overflowed
It caused a mudslide on the banks of the operator
civil war skeletons in their graves,
They came up clapping in the spirit of the aviator
The sound of the engines and the smell of the grain,
We go riding on the abolition grain train
Steven A. Douglas was a great debater,
But Abraham Lincoln was the great emancipator
Chickenmobile with your rooster tail
I had my fill and I know how bad it feels
Stay awake and watch for the data
No small caterpillar, go congratulate her
Denominator, (go Decatur) 
go Decatur, (It's the great I Am)
abominate her, (go Decatur) 
why did we hate her? (It's the great I Am)
Denominator, go Decatur, 
anticipate her (It's the great I Am)
Appreciate her, (appreciate her)
Stand up and thank her,
[pause]
Stand up and thank her,
It's the great I Am.
Stand up and thank her,
It's the great I Am.
Stand up and thank her,
It's the great I Am.
Stand up and thank her. ",,
Chicago,Sufjan Stevens,"--------5-
-----2----
3-5--------
D (C chord up 2 frets)    C       G      G
I fell in love again (all things go, all things go)
drove to Chicago (all things know, all things know)
we sold our clothes to the state (I don't mind, I don't mind)
I made a lot of mistakes (in my mind, in my mind)
you came to take us (all things go, all things go)
to recreate us (all things grow, all things grow)
we had our mindset (all things know, all things know)
you had to find it (all things go, all things go)
I drove to New York in a van, with my friend
we slept in parking lots (I don't mind, I don't mind)
I was in love with the place (in my mind, in my mind)
I made a lot of mistakes (in my mind, in my mind)
CHORUS
(big instrumental)
(quiet)
if I was crying in the van, with my friend
it was for freedom from myself and from the land
I made a lot of mistakes  x4
CHORUS x2 (lead sings I made a lot of mistakes on 2nd CHO)
you came to take us (all things go, all things go)
to recreate us (all things grow, all things grow)
we had our mindset (all things know, all things know)
you had to find it (all things go, all things go)
",,indie rock,"(hand out extra pages to audience)
I fell in love again (all things go, all things go)
drove to Chicago (all things know, all things know)
we sold our clothes to the state (I don't mind, I don't mind)
I made a lot of mistakes (in my mind, in my mind)
you came to take us (all things go, all things go)
to recreate us (all things grow, all things grow)
we had our mindset (all things know, all things know)
you had to find it (all things go, all things go)
I drove to New York... in a van, with my friend
we slept in parking lots (I don't mind, I don't mind)
I was in love with the place (in my mind, in my mind)
I made a lot of mistakes (in my mind, in my mind)
you came to take us (all things go, all things go)
to recreate us (all things grow, all things grow)
we had our mindset (all things know, all things know)
you had to find it (all things go, all things go)
(instrumental... hum verse)
if I was crying... in the van, with my friend
it was for freedom... from myself and from the land
I made a lot of mistakes
I made a lot of mistakes
I made a lot of mistakes
I made a lot of mistakes
you came to take us (all things go, all things go)
to recreate us (all things grow, all things grow)
we had our mindset (all things know, all things know)
you had to find it (all things go, all things go)
(lead singer sings “I made a lot of mistakes” during 2nd chorus repeat)
you came to take us (all things go, all things go)
to recreate us (all things grow, all things grow)
we had our mindset (all things know, all things know)
you had to find it (all things go, all things go) 
",,
Satisfaction,Cat Power (Rolling Stones),Chords on lyrics,,,"chords: Am C  Dm F
When I’m drivin’ in my car
And a man come on the radio
He’s tellin’ me more and more
About some useless information
Tryin’ to mess my imagination
When I’m watchin my tv
And a man comes on to tell me
How white my shirts can be
But he can’t be a man 
   cuz he doesn’t smoke
The same cigarettes as me
When I’m ridin’ around the globe
And I’m doin’ this and I’m signin’ that
And I’m tryin’ to make some boy
Baby, baby, baby, come back
Can’t you see I’m on a losing streak
When I’m ridin’ a round the globe
And I’m doin’ this and I’m signin’ that
And I’m tryin’...
And I’m tryin’...",,2
Satisfaction (Cat Power Version),Rolling Stones,see lyrics,,,"chords: Am C  Dm F
When I’m drivin’ in my car
And a man come on the radio
He’s tellin’ me more and more
About some useless information
Tryin’ to mess my imagination
When I’m watchin my tv
And a man comes on to tell me
How white my shirts can be
But he can’t be a man 
   cuz he doesn’t smoke
The same cigarettes as me
When I’m ridin’ around the globe
And I’m doin’ this and I’m signin’ that
And I’m tryin’ to make some boy
Baby, baby, baby, come back
Can’t you see I’m on a losing streak
When I’m ridin’ a round the globe
And I’m doin’ this and I’m signin’ that
And I’m tryin’...
And I’m tryin’...",,
Pink Bullets,"Shins, The","
riff:
x 0 x 12 10  12 
x 0 x 12 10  10
x x 0  7  8     7
x x 0  7  7/8  5
                
                
verse:    Am  Am  Dsus4   D
cho:       C    G    C    G   C   G  Bb   F     G...
verse
cho2  -  C    G    C    G   C   G  Bb   F     C...
bridge  
 F   G   Bb   C 
 F   G   Bb   C 
 F   G   C    F
            F   G...
intro melody (solo)
cho3 -    C    G    C    G   C    G
              Bb   F    Bb   F   Bb   F   G....
                      
",,indie rock,"I was just bony hands as cold as a winter pole
you held a warm stone out new flowing blood to hold
oh what a contrast you were
to the brutes in the halls
my timid young fingers held a decent animal.
Over the ramparts you tossed
the scent of your skin and some foreign flowers
tied to a brick
sweet as a song
the years have been short but the days were long.
Cool of a temperate breeze from dark skies to wet grass
we fell in a field it seems now a thousand summers passed
when our kite lines first crossed
we tied them into knots
and to finally fly apart
we had to cut them off.
Since then it's been a book you read in reverse
you understand less as the pages turn
or a movie so crass
and awkardly cast
that even I could be the star.
I don't look back much as a rule
and all this way before murder was cruel
but your memory is here and I'd like it to stay
warm light on a winters day.
Over the ramparts you tossed
the scent of your skin and some foreign flowers
tied to a brick
sweet as a song
the years have seemed short but the days go slowly by
two loose kites falling from the sky
drawn to the ground and an end to flight.",,3
Pressed in a Book,"Shins, The","(skip intro)
quarter note feel
verse: A        E             C           G  G/F#
           A        C#m       E            D  C#m
           A        E            G            D
           A        C#m       C            D
Cho:    C       G            C            G   D     x2
E (build...)          E  /////////   C#m  ///
verse: A        E             C           G  G/F#
           A        C#m       E            D  C#m
           A        E            G            D
           A        C#m       C            D
cho2 (same as before)
verse 3 (triplet eight note chugs)
         A        E             G             D     x3
ends suddenly on C
",,,"(skip intro)
doted on like seeds planted in rows
...the untied shoelaces of your life
nutured all year, then pressed in a book
...or displayed in bad taste at the table
problems arise, and you fan the fire
while there's a wild pack of dogs loose in your 
house tonight cut from bad cloth or soiled like socks
...add it up and ba...sically people never 
change they just talk and make plans in the dark or 
make haste with ideas that can't help but creep good people out
...as you talk to me, 
too much you're assuming
we don't always want what's right
(build.....)
did I strike the right set of chords? you're annoyed
...the goal is to ignite you, then move on
you feel ill at ease, you got no squeeze
....and the wise cracks won't make you more stable
you've learned your lines, to scale, and to time
why must I remind you that I'm only less able?
cut from bad cloth or soiled like socks
we're ordinary people we can't help but to 
change as we walk and make plans in the dark or 
make haste with the boy who can't help but creep good people out
...as you talk to me, 
too much you're assuming
we don't always want what's right
two fallen saplings in an o...pen field
snow padding gently on an empty bench
old woman's jewelry lying unadorned
cold nesting robins allied for the 
first time I know when you 
hear these sappy 
lines you'll roll your 
eyes and say, ""nice try""",,1
A Man Needs A Maid,Neil Young,"Bb     F       C       G       Bb      Dm
verse:
        Dm                                  C                             Bb                       F   
         My life is changin' in so many ways
         Dm                           C                                 Bb                        Dm  
         Dm                          C                                  Bb                          F   
        Dm                      Am7                                   Bb                        Dm 
chorus:
   Dm          C   
 A maid.......      
    Bb                     Dm7      G     F Em7
A man needs a maid.     
   Dm          C               Bb             Dm   
 A maid  
interlude:    Em            F       Em7        F              
             
      Am   G  F       Em7  Dm7   
 It's hard to make that change
            Am   G   F    Em7  Dm7    
 When life    and love turn strange...
   G    D            Bb        F
  and cold    
    C                         G                                Bb                        F
 To give a love,                          you gotta live a love.  
      C                       G                                Bb                         F
 To live a love,                           you gotta be part of. 
 C                                G                            Bb                       Dm
 When will I see you again?    
 Dm                                                       C                          Bb                         F      
 A while ago somewhere I don't know when
 Dm                                                   Am7                         Bb                       Dm    
   Dm          C   
 A maid       
     Bb                              Dm7      G F Em7
            A man needs a maid.  
    Dm           C                  
 A maid      
     Bb                            Gm                      Dm               
          A man needs  a maid. 
 Em           
 C                                    G                       Bb                    Dm     
 When will I see you again?  ",,,"My life is changing in so many ways
I don't know who to trust anymore
There's a shadow running thru my days
Like a beggar going from door to door.
I was thinking that maybe I'd get a maid
Find a place nearby for her to stay.
Just someone to keep my house clean,
Fix my meals and go away.
A maid... 
A man needs a maid. 
A maid...
(interlude...)
It's hard to make that change
When life and love turns strange
And old
To give a love,
you gotta live a love.
To live a love,
you gotta be ""part of""
When will I see you again?
A while ago somewhere I don't know when
I was watching a movie with a friend.
I fell in love with the actress.
She was playing a part that I could understand.
A maid... 
A man needs a maid. 
A maid...
When will I see you again?",,2
Red Right Ankle,"Decemberists, The","Gsus4 sounds better (don’t play low G note, B is low note)
(hammer on the 2nd fret notes)
intro:  G   C    G    C
G                                     C                                  G                              C
This is the story of your red right ankle,   and how it came to meet your leg
G                                             C                         G                             C
And how the muscle bone and sinews tangled, and how the skin was softly shed
Am                                          D                         Am                     D
And how it whispered, oh, adhere to me,    for we are bound by symmetry
Am                                          D                              G                             C     C C/B
And whatever differences our lives have been,   we together make a limb
Am                                  D                 G       C     G      C  
This is the story of your red right an..kle
G                                     C                   G                                                C
This is the story of your gypsy uncle, you never knew cause he was dead
G                                                 C                           G                             C
And how his face was carved and ripped wrinkles, in the picture in your head
Am                                  D                    Am                            A   (Asus4)
And remember how you found the key, to his hideout in the Pyrenees
Am                                        D                  G                                C          C  C/B
But you wanted to keep his secret safe, so you threw the key away
Am                                  D           G         C        G      C      
This is the story of your gypsy uncle
inter;ude:
Am    D   Dsus4   Am    D    Dsus4
intro:
G    C   G     C
G                                     C                                      G                                    C       
This is the story of the boys who loved you, who love you now and loved you then
G                                                              C                         
And some were sweet and some were cold and snuffed you, 
           G                                    C
and some just laid around in bed
Am                                                    D   (Dsus4)    Am                  D  (Dsus4)
Some had crumbled you straight to your knees, did it cruel did it tenderly
Am                                                       D                G                                  C     C/B
And some had crawled their way into your heart, to rend your ventricles apart
Am                                  D                              G             C      C  C/B
This is the story of the boys who loved you
Am                                 D                        Gsus4
This is the story of your red right ankle
",,,"This is the story of your red right ankle
And how it came to meet your leg
And how the muscle, bone, and sinews tangled
And how the skin was softly shed
And how it whispered “Oh, adhere to me
For we are bound by symmetry
And whatever differences our lives have been
We together make a limb.”
This is the story of your red right ankle.
This is the story of your gypsy uncle
You never knew ‘cause he was dead
And how his face was carved and rife with wrinkles
In the picture in your head.
And remember how you found the key
To his hide-out in the Pyrenees
But you wanted to keep his secret safe
So you threw the key away.
This is the story of your gypsy uncle.
(interlude)
This is the story of the boys who loved you
Who love you now and loved you then
And some were sweet, some were cold and snuffed you
And some just laid around in bed.
Some had crumbled you straight to your knees
Did it cruel, did it tenderly
Some had crawled their way into your heart
To rend your ventricles apart
This is the story of the boys who loved you
This is the story of your red right ankle.",,2
Anti Pleasure Dissertation,Bikini Kill,"power chords
(intro): | A          G  |  D             |  x2
                      A      G D
maybe i like you                      
                  A     GD               E                        E            
maybe i dooooo...                    oooooh....
 D            Dsus4   D...                              D/B                  G            
                                                   maybe i felt something real for just a 
 D            Dsus4   D...                              D/B                 G         
moment was i wrong...                                      tell me tell me
 D            Dsus4   D...                              D/B                  G   
did you tell them everything...
 D            Dsus4   D...                              D/B                  G 
did you tell them everything...
chorus: | A     G | Em     | D     |         |     x2
 D            Dsus4   D...                              D/B                  G       
                                                                                                did you get a 
 D            Dsus4   D...                              D/B                  G       
good laugh?                      tell me               was it good? was it good? was it good for 
 D            Dsus4   D...                              D/B                  G    
you? did you win that race? did you score that point?
 D            Dsus4   D...                              D/B                  G    
did ya did ya did ya did ya...
chorus
 | A     G | Em     | D     |         |     x4
(intro): | A          G  |  D             |  x4
E
",,,"(intro)
maybe i like you.     
maybe i dooooo...  oooooh....
maybe i felt something real for just a moment
was i wrong to trust anyone? 
tell me tell me
did you tell them everything i said?
did you tell them everything?
did you tell them everything i said?
did you tell them everything i said........
spoken:(did you tell them?)
did you get a good laugh? tell me 
was it good? was it good? was it good for 
you? did you win that race? did you score that point?
are you so fucking cool fucking cool now?
did ya did ya did ya did ya
did ya did ya did ya did ya 
did ya did ya      did ya?!
go tell yr fucking friends
what i saw and how i felt
how punk fucking rock my pussy is now!
(why don't you tell them?)
i don't care i don't care
i don't care i don't care
honey-oney-oney this i know...
(short interlude)
maybe i like you
maybe i dooooooo   ooooooooh....",,2
